school_number,school,club,year,meet,text,flag,source
406290,紅葉川,バドミントン部,令和６年度,東京都大会,活動実績 【令和６年度】 ・東京都高等学校バドミントン新人大会団体戦女子 4回戦進出（東東京ベスト16） ・第77回江戸川区秋季区民大会シングルス戦 男子4部優勝/第３位 ・第77回江戸川区秋季区民大会シングルス戦 女子4部第3位 ・第7,OK,https://www.metro.ed.jp/momijigawa-h/school_life/activities.html
406290,紅葉川,紅葉川男子バスケ部,令和6年度,東京都大会（予選）,活動実績 ・令和6年度 関東予選ベスト64 ・令和6年度 インターハイ予選3回戦進出 ・令和6年度 夏季江戸川区大会3位 女子バスケットボール部 活動日 火・木：体育館練習 金 ：トレーニング 土・日：練習・練習試合・大会（原則、どちらか,要確認,https://www.metro.ed.jp/momijigawa-h/school_life/activities.html
406290,紅葉川,男子バレーボール部,令和5年度,,活動実績 ・令和5年度新人大会ベスト32 ・令和6年度秋季江戸川区民大会優勝 女子バレーボール部 活動日 火・水・木・金・（土・日） 活動内容 1部大会１勝を目指して日々練習しています,要確認,https://www.metro.ed.jp/momijigawa-h/school_life/activities.html
406290,紅葉川,野球部,令和6年度,,活動実績 ・令和6年度吹奏楽連盟主催吹奏楽コンクールC組金賞 ・令和5年度吹奏楽連盟主催アンサンブルコンテスト銀賞 ・本校文化祭にて演奏会開催 美術部 部員数（2026年度） ・1年1名 ・2年5名 ・3年1名 ・計7名 活動日・活動場所,要確認,https://www.metro.ed.jp/momijigawa-h/school_life/activities.html
406910,橘,バドミントン部,令和７年度,東京都大会,バドミントン部 主な実績 令和７年度 工業大会 女子シングルス ３位入賞 ベスト８ 卓球部 主な実績 R3 東京都高等学校新人卓球大会 男子シングルス 都ベスト１６ R3 第４９回全国高等学校選抜卓球大会 男子シングルス（２部）出場予定（,OK,https://www.metro.ed.jp/tachibana-h/school_life/activities.html
406910,橘,高文連競技かるたの部,令和５年度,東京都大会,首部 主な実績 高文連競技かるたの部東京都予選初級の部準優勝 都立校大会準優勝 ほか ビジネス部 主な実績 ◆令和５年度 東京都高等学校簿記競技大会新人戦 ２級部門 佳良賞 ２年生１名 ３級部門 佳良賞 １年生１名 ◆令和６年度 東京都高等,要確認,https://www.metro.ed.jp/tachibana-h/school_life/activities.html
407020,富士森,バドミントン部,令和８年度,東京都大会（予選）,(43.5KB) □ ９月予定表 (41.7KB) 【大会実績】 女子 令和８年度 全国高等学校総合体育大会東京都予選大会(団体) 西東京BEST１６ 令和８年度 全国高等学校総合体育大会東京都予選大会（単) 第三ブロック 優勝 令和７年度,要確認,https://www.metro.ed.jp/fujimori-h/school_life/activities.html
407020,富士森,バドミントン部,令和７年度,東京都大会,新人大会兼全国高等学校選抜大会都予選大会(団体) 西東京BEST８ 令和７年度 新人大会兼全国高等学校選抜大会都予選大会(単) ブロック優勝 令和６年度 関東公立高等学校バドミントン大会都予選 １位 男子 令和８年度 全国高等学校総合体育,要確認,https://www.metro.ed.jp/fujimori-h/school_life/activities.html
407420,町田総合,ソフトボール部,令和元年度,東京都大会,令和元年に行われた、東京都公立高等学校女子ソフトボール選手権大会 地区予選でブロック優勝するなど、毎日の練習が身を結んでいます,OK,https://www.metro.ed.jp/machidasogo-h/school_life/activities.html
407910,八王子桑志,水泳部,令和７年度,,令和７年度八王子市民大会では、男子の部員が「５０ｍ平泳ぎ」で３位に入賞した,OK,https://www.metro.ed.jp/hachiojisoushi-h/school_life/activities.html
