school,department,sub_department,capacity,applicants,ratio
農芸,農業に関する学科,園芸科学,23,31,1.35
農芸,農業に関する学科,食品科学,46,44,0.96
農芸,農業に関する学科,緑地環境,23,20,0.87
農産,農業に関する学科,園芸ﾃﾞｻﾞｲﾝ,42,35,0.83
農産,農業に関する学科,食品,42,37,0.88
農業,農業に関する学科,都市園芸,21,49,2.33
農業,農業に関する学科,食品科学,21,28,1.33
農業,農業に関する学科,緑地計画,21,23,1.1
瑞穂農芸,農業に関する学科,園芸科学,25,23,0.92
瑞穂農芸,農業に関する学科,畜産科学,25,24,0.96
瑞穂農芸,農業に関する学科,食品,25,23,0.92
大島海洋国際,水産に関する学科,海洋国際,42,45,1.07
赤羽北桜,家庭に関する学科（単位制以外の学校）,保育・栄養,98,53,0.54
赤羽北桜,家庭に関する学科（単位制以外の学校）,調理,25,49,1.96
農業,家庭に関する学科（単位制以外の学校）,服飾,25,42,1.68
農業,家庭に関する学科（単位制以外の学校）,食物,25,39,1.56
瑞穂農芸,家庭に関する学科（単位制以外の学校）,生活ﾃﾞｻﾞｲﾝ,49,33,0.67
忍岡,家庭に関する学科（単位制の学校）,生活科学,49,55,1.12
赤羽北桜,福祉に関する学科,介護福祉,25,6,0.24
野津田,福祉に関する学科,福祉,28,8,0.29
科学技術,理数に関する学科,創造理数,34,77,2.26
立川,理数に関する学科,創造理数,34,92,2.71
総合芸術,芸術に関する学科,音楽,28,48,1.71
総合芸術,芸術に関する学科,美術,56,122,2.18
総合芸術,芸術に関する学科,舞台表現,28,49,1.75
駒場,体育に関する学科,保健体育,28,49,1.75
野津田,体育に関する学科,体育,24,10,0.42
国際,国際関係に関する学科,国際一般生徒対象,98,237,2.42
国際,国際関係に関する学科,日本人学校,15,21,1.4
国際,国際関係に関する学科,外国の学校,25,44,1.76
大島,併合科,農林・家政,35,11,0.31
三宅,併合科,農業・家政,35,3,0.09
八丈,併合科,園芸・家政,35,4,0.11
橘,産業科,産業,126,112,0.89
八王子桑志,産業科,ﾃﾞｻﾞｲﾝ分野,49,56,1.14
八王子桑志,産業科,ｸﾗﾌﾄ分野,25,25,1.0
