school_number,school,year,meet,sport,event,division,rank,source
409220,小平西,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
409220,小平西,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
409220,小平西,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
409240,国分寺,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
409240,国分寺,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/f734e123cff66b59eaf7967ec78da47c-1.pdf
409240,国分寺,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/fbc2abb6220515108b6f8c5f839217e1.pdf
409240,国分寺,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d086d835ccb5e21907cd421900e8eb90-2.pdf
409250,清瀬,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/5af00a4d2cdedddefa204008173df8c2.pdf
409250,清瀬,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/f734e123cff66b59eaf7967ec78da47c-1.pdf
409250,清瀬,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
409250,清瀬,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
409270,小平南,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/5af00a4d2cdedddefa204008173df8c2.pdf
