raw_name,normalized,org_type,schools,variants_in_group,decided_by
漫画同好会,漫画,同好会,2,2,auto
物理部,物理,部,5,1,auto
軽音部,軽音,部,4,2,auto
軽音愛好会,軽音,愛好会,1,2,auto
管弦楽部,管弦楽,部,5,1,auto
ブラスバンド部,ブラスバンド,部,4,2,auto
ブラスバンド班,ブラスバンド,班,1,2,auto
バトミントン部,バトミントン,部,5,1,auto
機械工作部,機械工作,部,4,2,auto
機械工作同好会,機械工作,同好会,1,2,auto
ホームメイキング部,ホームメイキング,部,5,1,auto
男子ソフトテニス部,男子ソフトテニス,部,5,1,auto
女子ソフトテニス部,女子ソフトテニス,部,5,1,auto
科学研究,科学研究,,1,5,auto
科学研究同好会,科学研究,同好会,1,5,auto
科学研究部（物理・数学班）,科学研究,,1,5,auto
科学研究部（生物化学班）,科学研究,,1,5,auto
科学研究部（生活科学班）,科学研究,,1,5,auto
造園部,造園,部,3,3,auto
造園部（造園班）,造園,,1,3,auto
造園部（フラワーデザイン班）,造園,,1,3,auto
陶芸部,陶芸,部,5,1,auto
家庭部,家庭,部,5,1,auto
アーチェリー部,アーチェリー,部,5,1,auto
鉄道研究部,鉄道研究,部,5,1,auto
漫画イラスト部,漫画イラスト,部,2,3,auto
漫画・イラスト部,漫画イラスト,部,2,3,auto
漫画イラスト同好会,漫画イラスト,同好会,1,3,auto
調理部,調理,部,5,1,auto
アメリカンフットボール部,アメリカンフットボール,部,1,4,auto
アメリカン・フットボール部,アメリカンフットボール,部,1,4,auto
アメリカンフットボール部,アメリカンフットボール,部,1,4,auto
アメリカンフットボール,アメリカンフットボール,,1,4,auto
コンピューター部,コンピューター,部,3,2,auto
コンピューター,コンピューター,,1,2,auto
伝統文化,伝統文化,,1,4,auto
伝統文化部,伝統文化,部,1,4,auto
伝統文化同好会,伝統文化,同好会,1,4,auto
伝統文化（かるた）部,伝統文化,部,1,4,auto
合気道部,合気道,部,3,2,auto
合気道同好会,合気道,同好会,1,2,auto
手話部,手話,部,4,1,auto
アコースティックギター部,アコースティックギター,部,4,1,auto
映像研究部,映像研究,部,3,2,auto
映像研究同好会,映像研究,同好会,1,2,auto
空手部,空手,部,3,2,auto
空手,空手,,1,2,auto
釣り部,釣り,部,4,1,auto
ウェイトトレーニング部,ウェイトトレーニング,部,4,1,auto
JRC部,JRC,部,3,2,auto
JRC同好会,JRC,同好会,1,2,auto
アウトドア部,アウトドア,部,4,1,auto
将棋班,将棋,班,1,3,auto
将棋部,将棋,部,1,3,auto
将棋同好会,将棋,同好会,1,3,auto
鉄道同好会,鉄道,同好会,1,3,auto
鉄 道,鉄道,,1,3,auto
鉄道部,鉄道,部,1,3,auto
ハンドメイキング部,ハンドメイキング,部,3,1,auto
eスポーツ部,eスポーツ,部,3,1,auto
福祉部,福祉,部,2,2,auto
福祉同好会,福祉,同好会,1,2,auto
理科部,理科,部,2,2,auto
理科同好会,理科,同好会,1,2,auto
ワープロ部,ワープロ,部,3,1,auto
国際交流部,国際交流,部,2,2,auto
国際交流クラブ,国際交流,クラブ,1,2,auto
新聞部,新聞,部,3,1,auto
天文気象部,天文気象,部,3,1,auto
マンガイラスト部,マンガイラスト,部,2,2,auto
マンガ・イラスト部,マンガイラスト,部,1,2,auto
ジャズ,ジャズ,,1,3,auto
ジャズ同好会,ジャズ,同好会,1,3,auto
ジャズ部,ジャズ,部,1,3,auto
美術工芸部,美術工芸,部,2,2,auto
美術・工芸部,美術工芸,部,1,2,auto
イラスト研究部,イラスト研究,部,3,1,auto
ファッション部,ファッション,部,2,2,auto
ファッション,ファッション,,1,2,auto
デジタルクリエイト部,デジタルクリエイト,部,2,2,auto
デジタルクリエイト同好会,デジタルクリエイト,同好会,1,2,auto
現代視覚文化研究部,現代視覚文化研究,部,3,1,auto
アニメーション部,アニメーション,部,3,1,auto
自転車部,自転車,部,3,1,auto
ガーデニング部,ガーデニング,部,3,1,auto
女子ダンス部,女子ダンス,部,3,1,auto
囲碁部,囲碁,部,3,1,auto
男女バドミントン部,男女バドミントン,部,2,2,auto
男女バドミントン,男女バドミントン,,1,2,auto
天文地学部,天文地学,部,3,1,auto
マシンクラフト部,マシンクラフト,部,3,1,auto
ボート部,ボート,部,2,2,auto
ボート,ボート,,1,2,auto
ローイング部,ローイング,部,1,3,auto
ローイング(ボート)部,ローイング,部,1,3,auto
ローイング（ボート）部,ローイング,部,1,3,auto
なぎなた部,なぎなた,部,3,1,auto
ハンドメイド,ハンドメイド,,1,3,auto
ハンドメイド部,ハンドメイド,部,1,3,auto
ハンドメイド同好会,ハンドメイド,同好会,1,3,auto
バトントワリング部,バトントワリング,部,3,1,auto
室内楽部,室内楽,部,3,1,auto
棋道部,棋道,部,2,1,auto
漫画文芸部,漫画文芸,部,2,1,auto
ホームメイド部,ホームメイド,部,1,2,auto
ホームメイド部,ホームメイド,部,1,2,auto
情報処理部,情報処理,部,2,1,auto
芸術部,芸術,部,2,1,auto
勉強部,勉強,部,1,2,auto
勉強同好会,勉強,同好会,1,2,auto
ボードゲーム同好会,ボードゲーム,同好会,2,1,auto
アート部,アート,部,2,1,auto
男女サッカー部,男女サッカー,部,2,1,auto
自然研究部,自然研究,部,2,1,auto
ＰＣ資格検定,PC資格検定,,1,2,auto
PC資格検定部,PC資格検定,部,1,2,auto
マルチメディア,マルチメディア,,1,2,auto
マルチメディア部,マルチメディア,部,1,2,auto
イラスト文芸部,イラスト文芸,部,2,1,auto
創作部,創作,部,2,1,auto
男子バスケ部,男子バスケ,部,2,1,auto
バトン部,バトン,部,2,1,auto
ブレイクダンス部,ブレイクダンス,部,2,1,auto
バレー部,バレー,部,2,1,auto
野菜部,野菜,部,2,1,auto
果樹部,果樹,部,2,1,auto
国際協力ボランティア同好会,国際協力ボランティア,同好会,1,2,auto
国際協力ボランティア部,国際協力ボランティア,部,1,2,auto
優秀賞（国際地理）,優秀賞,,1,2,auto
優秀賞（外国語科）,優秀賞,,1,2,auto
サイエンス部,サイエンス,部,2,1,auto
ジャグリング部,ジャグリング,部,2,1,auto
社会科同好会,社会科,同好会,2,1,auto
数学研究同好会,数学研究,同好会,2,1,auto
工作,工作,,1,2,auto
工作部,工作,部,1,2,auto
物理化学部,物理化学,部,1,2,auto
物理・化学部,物理化学,部,1,2,auto
ギター同好会,ギター,同好会,1,2,auto
ギター部,ギター,部,1,2,auto
メーキング部,メーキング,部,2,1,auto
マンガアニメ部,マンガアニメ,部,1,2,auto
マンガ・アニメ部,マンガアニメ,部,1,2,auto
フェンシング部,フェンシング,部,2,1,auto
理科研究部,理科研究,部,2,1,auto
珠算部,珠算,部,2,1,auto
ハイキング部,ハイキング,部,2,1,auto
食品加工部,食品加工,部,2,1,auto
化学研究部,化学研究,部,2,1,auto
電子工作部,電子工作,部,2,1,auto
模型工作部,模型工作,部,2,1,auto
ダンスパフォーマンス部,ダンスパフォーマンス,部,2,1,auto
漫画イラスト研究部,漫画イラスト研究,部,2,1,auto
服飾部,服飾,部,2,1,auto
美術陶芸部,美術陶芸,部,1,2,auto
美術・陶芸部,美術陶芸,部,1,2,auto
ＩＴ写真,IT写真,,1,2,auto
IT写真部,IT写真,部,1,2,auto
理化部,理化,部,2,1,auto
数学部,数学,部,1,2,auto
数学班,数学,班,1,2,auto
男女テニス部,男女テニス,部,2,1,auto
社会福祉部,社会福祉,部,2,1,auto
情報技術部,情報技術,部,2,1,auto
音楽村,音楽村,,2,1,auto
物理・コンピュータ部,物理コンピュータ,部,1,2,auto
物理コンピュータ部,物理コンピュータ,部,1,2,auto
ボクシング部,ボクシング,部,2,1,auto
フリーライティング部,フリーライティング,部,2,1,auto
原動機部,原動機,部,2,1,auto
生物科学部,生物科学,部,2,1,auto
英会話部,英会話,部,2,1,auto
トレッキング部,トレッキング,部,2,1,auto
マーケティング同好会,マーケティング,同好会,1,2,auto
マーケティング部,マーケティング,部,1,2,auto
応援部,応援,部,2,1,auto
ロボット部,ロボット,部,2,1,auto
服飾デザイン部,服飾デザイン,部,2,1,auto
製菓部,製菓,部,2,1,auto
男女硬式テニス部,男女硬式テニス,部,2,1,auto
コンピュータ研究同好会,コンピュータ研究,同好会,2,1,auto
ロボット研究部,ロボット研究,部,2,1,auto
美術イラスト部,美術イラスト,部,1,2,auto
美術・イラスト部,美術イラスト,部,1,2,auto
少林寺拳法部,少林寺拳法,部,2,1,auto
映画制作部,映画制作,部,2,1,auto
弦楽合奏部,弦楽合奏,部,2,1,auto
落語研究同好会,落語研究,同好会,1,2,auto
落語研究部,落語研究,部,1,2,auto
郷土芸能部,郷土芸能,部,2,1,auto
農産加工同好会,農産加工,同好会,1,2,auto
農産加工部,農産加工,部,1,2,auto
太鼓部,太鼓,部,1,2,auto
太鼓同好会,太鼓,同好会,1,2,auto
セーリング部,セーリング,部,1,2,auto
セーリング部,セーリング,部,1,2,auto
生物研究部,生物研究,部,1,1,auto
美術研究部,美術研究,部,1,1,auto
化学探究部,化学探究,部,1,1,auto
雑草研究部,雑草研究,部,1,1,auto
物理地学研究部,物理地学研究,部,1,1,auto
音楽部合唱班,音楽部合唱,班,1,1,auto
音楽部オーケストラ班,音楽部オーケストラ,班,1,1,auto
劇壇同好会,劇壇,同好会,1,1,auto
武道部,武道,部,1,1,auto
ペーパージオラマ部,ペーパージオラマ,部,1,1,auto
防災部,防災,部,1,1,auto
筝曲・華道部,筝曲華道,部,1,1,auto
食文化研究部,食文化研究,部,1,1,auto
箏曲・華道部,箏曲華道,部,1,1,auto
食物部,食物,部,1,1,auto
理数研究部,理数研究,部,1,1,auto
ページの先頭へ,ページの先頭へ,,1,1,auto
サイトポリシー,サイトポリシー,,1,1,auto
東京都立八潮高等学校,東京都立八潮高等学校,,1,1,auto
〒140-0002,〒140-0002,,1,1,auto
器械体操班,器械体操,班,1,1,auto
物理ラジオ班,物理ラジオ,班,1,1,auto
ホームサークル班,ホームサークル,班,1,1,auto
KBS（放送）班,KBS,班,1,1,auto
総合科学部,総合科学,部,1,1,auto
ピアノ部,ピアノ,部,1,1,auto
ロックバンド部,ロックバンド,部,1,1,auto
アニスト部,アニスト,部,1,1,auto
社会科学同好会,社会科学,同好会,1,1,auto
部活動の紹介,部活動の紹介,,1,1,auto
デジタル・ドローン・プログラミング同好会,デジタルドローンプログラミング,同好会,1,1,auto
ねぶた部,ねぶた,部,1,1,auto
男子ソフトボール部,男子ソフトボール,部,1,1,auto
珠算競技部,珠算競技,部,1,1,auto
ひがた部,ひがた,部,1,1,auto
いけだ部,いけだ,部,1,1,auto
フラダンス同好会,フラダンス,同好会,1,1,auto
漫画アニメ部,漫画アニメ,部,1,1,auto
デザイン同好会,デザイン,同好会,1,1,auto
文学部,文学,部,1,1,auto
地理歴史部,地理歴史,部,1,1,auto
クイズ同好会,クイズ,同好会,1,1,auto
体操競技部,体操競技,部,1,1,auto
駒場フィルハーモニーオーケストラ部,駒場フィルハーモニーオーケストラ,部,1,1,auto
KMC部,KMC,部,1,1,auto
沖縄太鼓部,沖縄太鼓,部,1,1,auto
放送局,放送局,,1,1,auto
新聞局,新聞局,,1,1,auto
放送研究部,放送研究,部,1,1,auto
演劇研究部,演劇研究,部,1,1,auto
アルペン部,アルペン,部,1,1,auto
漫画愛好部,漫画愛好,部,1,1,auto
テーブルゲーム同好会,テーブルゲーム,同好会,1,1,auto
クリエイト同好会,クリエイト,同好会,1,1,auto
女子バスケ部,女子バスケ,部,1,1,auto
描く部,描く,部,1,1,auto
珠算・電卓部,珠算電卓,部,1,1,auto
国際交流ボランティア部,国際交流ボランティア,部,1,1,auto
イラスト創作文芸部,イラスト創作文芸,部,1,1,auto
商業研究同好会,商業研究,同好会,1,1,auto
簿記研究部,簿記研究,部,1,1,auto
ロボット技術研究部,ロボット技術研究,部,1,1,auto
ラジコン部,ラジコン,部,1,1,auto
プログラムクリエーター同好会,プログラムクリエーター,同好会,1,1,auto
交通研究同好会,交通研究,同好会,1,1,auto
デジタルグラフィックサークル,デジタルグラフィックサークル,,1,1,auto
造形（プラモデル）サークル,造形サークル,,1,1,auto
建築サークル,建築サークル,,1,1,auto
演劇サークル,演劇サークル,,1,1,auto
RC（ラジコンカー）部,RC,部,1,1,auto
写真・デジタルグラフィック同好会,写真デジタルグラフィック,同好会,1,1,auto
都市工同好会,都市工,同好会,1,1,auto
花卉部,花卉,部,1,1,auto
盆栽部,盆栽,部,1,1,auto
フレンド・オブ・アニマルズ部,フレンドオブアニマルズ,部,1,1,auto
食品科学部,食品科学,部,1,1,auto
昆虫部,昆虫,部,1,1,auto
植物バイオテクノロジー部,植物バイオテクノロジー,部,1,1,auto
DIY同好会,DIY,同好会,1,1,auto
ハト部,ハト,部,1,1,auto
バラ園プロジェクト,バラ園プロジェクト,,1,1,auto
花王公式Youtube,花王公式Youtube,,1,1,auto
KATE再生リスト,KATE再生リスト,,1,1,auto
ウインドアンサンブル部,ウインドアンサンブル,部,1,1,auto
シンポジウム部,シンポジウム,部,1,1,auto
表象文化部,表象文化,部,1,1,auto
ジャパニーズスタイル,ジャパニーズスタイル,,1,1,auto
＜コンクール,<コンクール,,1,1,auto
Competition＞,Competition>,,1,1,auto
第18回,第18回,,1,1,auto
環境フォトコンテスト,環境フォトコンテスト,,1,1,auto
学校家庭クラブ活動,学校家庭クラブ活動,,1,1,auto
功労賞（家庭科）,功労賞,,1,1,auto
第61回,第61回,,1,1,auto
コンテンポラリーダンスコース部,コンテンポラリーダンスコース,部,1,1,auto
ジャズ研究部,ジャズ研究,部,1,1,auto
プチコンセール部,プチコンセール,部,1,1,auto
カレー部,カレー,部,1,1,auto
メサイア研究部,メサイア研究,部,1,1,auto
ヴォーカルアンサンブル部,ヴォーカルアンサンブル,部,1,1,auto
殺陣部,殺陣,部,1,1,auto
映像放送制作部,映像放送制作,部,1,1,auto
バックステージ同好会,バックステージ,同好会,1,1,auto
卓上ゲーム同好会,卓上ゲーム,同好会,1,1,auto
Art,Art,,1,1,auto
Night同好会,Night,同好会,1,1,auto
食物研究同好会,食物研究,同好会,1,1,auto
造形部,造形,部,1,1,auto
コンテンポラリーダンス部,コンテンポラリーダンス,部,1,1,auto
男子バトミントン部,男子バトミントン,部,1,1,auto
女子バトミントン部,女子バトミントン,部,1,1,auto
宇宙研究部,宇宙研究,部,1,1,auto
ゴスペルフリークス部,ゴスペルフリークス,部,1,1,auto
CR東日本,CR東日本,,1,1,auto
ディベート部,ディベート,部,1,1,auto
シブ楽隊,シブ楽隊,,1,1,auto
つるばみ同好会,つるばみ,同好会,1,1,auto
ベトリナ,ベトリナ,,1,1,auto
ケルト音楽研究,ケルト音楽研究,,1,1,auto
ORIGAMI,ORIGAMI,,1,1,auto
ヲタ芸,ヲタ芸,,1,1,auto
英語ディベート,英語ディベート,,1,1,auto
NISH FLYER,NISHFLYER,,1,1,auto
SDGsの会,SDGsの,,1,1,auto
西高生にささやかなスパイスを,西高生にささやかなスパイスを,,1,1,auto
ポケモン,ポケモン,,1,1,auto
西論会,西論,,1,1,auto
特別部,特別,部,1,1,auto
体操ダンス部,体操ダンス,部,1,1,auto
ファッションクリエイト部,ファッションクリエイト,部,1,1,auto
ESS（English,ESS(English,,1,1,auto
Speaking,Speaking,,1,1,auto
Society）部,Society),部,1,1,auto
社会福祉研究部,社会福祉研究,部,1,1,auto
天文学部,天文学,部,1,1,auto
マイコン部,マイコン,部,1,1,auto
中国語部,中国語,部,1,1,auto
Vocal同好会,Vocal,同好会,1,1,auto
