school_number,name,station,mode,ride_min,walk_min,total_min,alight_stop,detail,source_url
407520,八王子拓真,西八王子,walk,,8,8,,ＪＲ西八王子駅から徒歩約８分、京王線 山田駅から徒歩約２０分,https://www.metro.ed.jp/hachiojitakushin-he/access/access.html
407520,八王子拓真,京王八王子,bus,10,,10,,京王八王子駅１番バスのりばで長房団地行き、城山手行きまたは館ヶ丘団地行きに乗り、 西八王子駅入口下車（約１０分間隔で発車、所要時間１１分）、,https://www.metro.ed.jp/hachiojitakushin-he/access/access.html
407520,八王子拓真,京王八王子,walk,,7,7,,千人町交差点を右に折れ、御所水通りを富士森公園方向に徒歩約７分,https://www.metro.ed.jp/hachiojitakushin-he/access/access.html
408050,拝島,拝島,bus,10,3,13,,バスで拝島大師まで10分、拝島大師より徒歩3分,https://www.metro.ed.jp/haijima-h/access/access.html
408050,拝島,拝島,walk,,27,27,,徒歩で27分,https://www.metro.ed.jp/haijima-h/access/access.html
408050,拝島,昭島,walk,,23,23,,徒歩で23分,https://www.metro.ed.jp/haijima-h/access/access.html
408050,拝島,立川,bus,25,3,28,,バスで拝島大師まで25分、拝島大師より徒歩3分,https://www.metro.ed.jp/haijima-h/access/access.html
408250,羽村,羽村,bus,,,,,羽村駅東口からバスの場合,https://www.metro.ed.jp/hamura-h/access/access.html
408250,羽村,箱根ヶ崎,bus,,,,,立川バス乗り場から「長岡循環」「箱根ヶ崎駅」乗車,https://www.metro.ed.jp/hamura-h/access/access.html
408250,羽村,箱根ヶ崎,bus,8,,8,東台,→「東台」下車(所要時間約8分),https://www.metro.ed.jp/hamura-h/access/access.html
408250,羽村,羽村,walk,,20,20,,羽村駅東口から徒歩で約20分,https://www.metro.ed.jp/hamura-h/access/access.html
408250,羽村,箱根ヶ崎,walk,,20,20,,箱根ヶ崎駅から徒歩で約20分,https://www.metro.ed.jp/hamura-h/access/access.html
405410,晴海総合,月島,walk,,8,8,,（10）番出口より徒歩8分,https://www.metro.ed.jp/harumisogo-h/access/access.html
405410,晴海総合,月島,bus,,,,,バスの場合,https://www.metro.ed.jp/harumisogo-h/access/access.html
405410,晴海総合,亀戸,bus,,6,,,都営バス 門33系統 亀戸駅前発 豊海水産埠頭行 月島三丁目下車 徒歩6分,https://www.metro.ed.jp/harumisogo-h/access/access.html
405410,晴海総合,東京,bus,,1,,,東15系統 深川車庫前発 東京駅八重洲口行 晴海一丁目下車 徒歩1分,https://www.metro.ed.jp/harumisogo-h/access/access.html
401020,日比谷,永田町,walk,,8,8,,「永田町駅」6番出口より徒歩8分,https://www.metro.ed.jp/hibiya-h/access/access.html
401020,日比谷,赤坂見附,walk,,8,8,,「赤坂見附駅」11番出口より徒歩8分,https://www.metro.ed.jp/hibiya-h/access/access.html
401020,日比谷,国会議事堂前,walk,,7,7,,「溜池山王・国会議事堂前駅」5番出口より徒歩7分,https://www.metro.ed.jp/hibiya-h/access/access.html
406220,東,南砂町,walk,,12,12,,「南砂町駅」５番出口 徒歩１２分,https://www.metro.ed.jp/higashi-h/access/access.html
