school_number,school,year,meet,sport,event,division,rank,source
404420,王子総合,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
404420,王子総合,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409070,田無,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407210,町田,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407210,町田,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407420,町田総合,令和6年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
407420,町田総合,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407420,町田総合,令和7年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
407420,町田総合,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,4位,日本高校ダンス部選手権（ダンススタジアム）大会結果
407420,町田総合,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402040,目黒,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402040,目黒,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402040,目黒,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
