school_number,name,slug,access_text,source_url
408250,羽村,hamura-h,"路線案内
◇ 「羽村駅」「箱根ヶ崎駅」までの所要時間
JR線：「立川駅」約18分、「八王子駅」約22分、「国分寺駅」約28分、「新宿駅」約55分
西武線：「東大和駅」約22分、「小平駅」約30分、「田無駅」約45分、「西武新宿駅」1時間
◇ 最寄り駅から本校までのアクセス
羽村駅東口からバスの場合
立川バス乗り場から「長岡循環」「箱根ヶ崎駅」乗車
→「東台」下車(所要時間約8分)
→下車後、徒歩5分
羽村駅東口から徒歩で約20分
箱根ヶ崎駅から徒歩で約20分",https://www.metro.ed.jp/hamura-h/access/access.html
405410,晴海総合,harumisogo-h,"路線案内
東京メトロ有楽町線 月島駅下車
都営地下鉄大江戸線 月島駅下車
（10）番出口より徒歩8分
バスの場合
都営バス 門33系統 亀戸駅前発 豊海水産埠頭行 月島三丁目下車 徒歩6分
東15系統 深川車庫前発 東京駅八重洲口行 晴海一丁目下車 徒歩1分
業10系統 新橋発 東京スカイツリー駅前行 晴海一丁目下車 徒歩0分",https://www.metro.ed.jp/harumisogo-h/access/access.html
401020,日比谷,hibiya-h,"路線案内
地下鉄の「永田町」「赤坂見附」「溜池山王」「国会議事堂前」が最寄り駅です。
「永田町駅」6番出口より徒歩8分
「赤坂見附駅」11番出口より徒歩8分
「溜池山王・国会議事堂前駅」5番出口より徒歩7分",https://www.metro.ed.jp/hibiya-h/access/access.html
406220,東,higashi-h,"路線案内
東京メトロ東西線
「南砂町駅」５番出口 徒歩１２分
都営バス
「東砂四丁目」バス停下車 徒歩３分
（都営地下鉄新宿線利用の場合）
大島駅より 都営バス 亀２１系統 １０分
東大島駅より 都営バス 門２１系統 １０分
西大島駅より 都営バス 両２８系統・亀２９系統 １０分
（ＪＲ総武線利用の場合）
亀戸駅より 都営バス 両２８系統・亀２９・亀２１系統 １５～１８分",https://www.metro.ed.jp/higashi-h/access/access.html
409230,東村山,higashimurayama-h,"路線案内
西武新宿線／西武国分寺線・東村山駅東口より徒歩12分
銀河鉄道バス「野際通り西」下車（所用3分）
グリーンバス「東村山高校」下車",https://www.metro.ed.jp/higashimurayama-h/access/access.html
409280,東村山西,higashimurayamanishi-h,"路線案内
西武新宿線 久米川駅南口
西武バス [立３４] 立川駅北口行8分 明法学院前下車徒歩7分
JR中央線 立川駅北口
西武バス [立３４] 久米川駅行33分 明法学院前下車徒歩7分
西武多摩湖線 八坂駅 徒歩15分
西武国分寺線・拝島線 小川駅 徒歩20分",https://www.metro.ed.jp/higashimurayamanishi-h/access/access.html
408060,東大和,higashiyamato-h,"路線案内
「上北台駅」より 徒歩10分
西武拝島線
「東大和市駅」より 徒歩25分
バス
西武バス
JR「立川駅北口」より（東大和市駅経由）
東村山駅西口行・イオンモール行 約25分「庚申塚」下車 徒歩5分
西武バス
JR「立川駅北口」より（東大和市駅経由）
芝中団地行 約30分「東大和高校」下車 徒歩1分
都営バス
西武拝島線「東大和市駅前」より
青梅車庫行 約5分「庚申塚」下車 徒歩5分
西武バス
西武新宿線「東村山駅西口」より
立川駅北口行 約15分「庚申塚」下車 徒歩5分",https://www.metro.ed.jp/higashiyamato-h/access/access.html
403250,光丘,hikarigaoka-h,"路線案内
都営地下鉄大江戸線「光が丘」駅から徒歩12分
東武東上線「成増」駅から徒歩15分
バス
成増駅より下車南口4番のりば 西武バス
（光31）光が丘駅行「光丘高校」下車、徒歩1分
（練高01）練馬高野台駅行「光丘高校」下車、徒歩1分
（練高02）南田中車庫行各経由バス「光丘高校」下車、徒歩1分
西武 練馬高野台駅
西武バス（練高01）（練高02）成増駅行「光丘高校」下車、徒歩1分
西武 石神井公園駅
西武バス（吉60）成増駅行「土支田交番」下車、徒歩5分
国際興業バス（石02・03）成増行・練馬車庫行き「土支田交番」下車、徒歩5分
西武 保谷駅
コミュニティバス「みどりバス」光が丘駅行き「光丘高校角」下車、徒歩1分
※バスでお越しの場合は、交通状況により遅延する恐れがありますので、余裕を持った移動をオススメします。",https://www.metro.ed.jp/hikarigaoka-h/access/access.html
407080,日野,hino-h,"路線案内
立川より7分（立川南駅から万願寺駅までの乗車時間）
多摩センターより12分（高播不動駅までの乗車時間）",https://www.metro.ed.jp/hino-h/access/access.html
407090,日野台,hinodai-h,"JR中央線日野駅下車
徒歩13分
京王バス (日50)八王子駅北口行 約5分「日野自動車前」下車、徒歩4分
京王バス (日11)豊田駅北口行 約5分「日野自動車前」下車、徒歩3分
JR中央線豊田駅下車
徒歩20分
京王バス (日11)日野駅行 約5分「日野自動車前」下車、徒歩3分
JR中央線八王子駅下車
京王バス (日50)日野駅行 約25分「日野自動車前」下車、徒歩4分
京王線高幡不動駅（南口）下車
京王バス (日02)日野駅行 約15分「日野市役所」下車、徒歩約15分
京王バス (日03)日野駅行 約15分「日野市役所東」下車、徒歩約15分",https://www.metro.ed.jp/hinodai-h/access/access.html
